Food Name,Menu Price,Quantity,Gross,Discount,Net
Rice,$2.50,50,125,0,125
Roast Chili L,$15.00,2,30,0,30
Roast Chili S,$8.00,4,32,0,32
Root Beer,$2.50,6,15,0,15
S1 Madam Mam's Salad,$5.00,2,10,0,10
S1 Mam's Salad,$4.95,15,75.95,0,75.95
S2 Yum Nuer,$12.50,19,237.5,0,237.5
S2 Yum Nuer **,$12.50,2,25,0,25
S2 Yum Tofu ** (Veg),$12.50,1,12.5,0,12.5
S3 Num Tok,$11.25,18,223.75,1.69,222.06
S3 Num Tok (Waterfall) **,$12.50,10,130,0,130
S4 Som Tum,$9.95,28,292.35,0,292.35
S4 Som Tum (Papaya Salad) **,$10.50,8,84,0,84
S5 Yum Grn Bean,$12.50,8,106,0,106
S5 Yum Grn Bean 1/5,$2.50,5,12.5,0,12.5
Sake Bomb,$9.00,10,90,0,90
Sake Single,$4.00,35,140,0,140
Sapporo,$3.00,20,59,0,59
Sapporo 1/2,$1.00,4,5,0,5
Sapporo Beer (Bottle) ,$3.00,1,3,0,3
Sayuri Nigori,$13.75,1,13.75,0,13.75
SD Bok Choy,$2.00,2,4,0,4
SD Broccoli,$2.00,2,4,0,4
SD Cilantro,$0.50,4,2,0,2
SD Eggplant,$2.00,1,2,0,2
SD Flat Noodle,$2.50,1,2.5,0,2.5
SD Fried Egg,$2.75,1,2.75,0,2.75
SD Fried Tofu,$2.00,1,2,0,2
SD Green Beans,$1.50,1,1.5,0,1.5
SD Mix Veggies,$3.00,3,9,0,9
SD Mushroom,$2.00,1,2,0,2
SD Rice Stick Noodle,$2.00,1,2,0,2
SD Sprout,$1.00,1,1,0,1
SD Steamed Egg Noodle,$2.50,1,2.5,0,2.5
SD Vermicelli,$2.50,4,10,0,10
Sierra Mist,$2.50,6,15,0,15
Singha,$3.00,5,15,0,15
Soda Water,$1.50,1,1.5,0,1.5
Steamed Egg Noodle,$3.00,1,3,0,3
Sticky Rice,$3.00,11,33,0,33
Sub Brown Rice,$2.50,2,5,0,5
Sweet Ice Tea,$3.00,42,126,0,126
Sweet Sticky Rice topped with Coconut Sauce,$3.50,8,28,0,28
Thai Coffee,$3.50,84,333.5,0,333.5
Thai Coffee 1/2,$2.00,2,4,0,4
Thai Coffee(No Ice),$5.00,2,10,0,10
