NS1 Teaw NuerSod,$9.50,2,19,0,19,2021-01-01 00:00:00,2021-01-31 00:00:00
NS11 Udon Tom Yum **,$9.50,6,63.25,0,63.25,2021-01-01 00:00:00,2021-01-31 00:00:00
NS11 Udon TomYum,$9.95,11,114,0,114,2021-01-01 00:00:00,2021-01-31 00:00:00
NS12 Yen Ta Fo Seafood **,$11.50,3,34.5,0,34.5,2021-01-01 00:00:00,2021-01-31 00:00:00
NS13 Yen Ta Fo Tofu **,$9.25,6,70.3,0,70.3,2021-01-01 00:00:00,2021-01-31 00:00:00
NS13 YenTaFo Tofu,$9.95,1,9.95,0,9.95,2021-01-01 00:00:00,2021-01-31 00:00:00
NS14 Guay Teaw Tom Yum Moo ****,$9.50,6,62.75,0,62.75,2021-01-01 00:00:00,2021-01-31 00:00:00
NS14 TomYum Moo,$10.25,4,41,0,41,2021-01-01 00:00:00,2021-01-31 00:00:00
NS15 Tom Khlong,$9.50,4,38,0,38,2021-01-01 00:00:00,2021-01-31 00:00:00
NS15 Tom Khlong **.,$9.25,2,18.75,0,18.75,2021-01-01 00:00:00,2021-01-31 00:00:00
NS16 Kao Soi,$10.95,15,164.25,0,164.25,2021-01-01 00:00:00,2021-01-31 00:00:00
NS16 Kao Soi **,$11.50,17,196.25,0,196.25,2021-01-01 00:00:00,2021-01-31 00:00:00
NS5 Guay Teaw Moo,$9.25,5,51,0,51,2021-01-01 00:00:00,2021-01-31 00:00:00
NS6 Guay Teaw Gai Toon,$9.50,3,30.5,0,30.5,2021-01-01 00:00:00,2021-01-31 00:00:00
NS6 Teaw Gai,$9.50,5,50,0,50,2021-01-01 00:00:00,2021-01-31 00:00:00
NS8 Guay Teaw Tom Yum **,$9.25,13,134.25,0,134.25,2021-01-01 00:00:00,2021-01-31 00:00:00
NS8 Teaw TomYum,$10.25,23,237.75,0,237.75,2021-01-01 00:00:00,2021-01-31 00:00:00
NS9 Guay Teaw Tom Yum Seafood **,$12.25,1,12.25,0,12.25,2021-01-01 00:00:00,2021-01-31 00:00:00
NS9 Teaw TomYum Sea,$12.25,1,12.25,0,12.25,2021-01-01 00:00:00,2021-01-31 00:00:00
Open Food,$0.00,5,8,0,8,2021-01-01 00:00:00,2021-01-31 00:00:00
Organic Brown Rice ,$2.50,4,10,0,10,2021-01-01 00:00:00,2021-01-31 00:00:00
P1 Basil Fried Rice,$9.75,79,786.25,0,786.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P1 Spicy Basil Fried Rice ****,$9.95,63,636.15,0,636.15,2021-01-01 00:00:00,2021-01-31 00:00:00
